id,time,mood,circumplex.arousal,circumplex.valence,activity
AS14.01,2014-02-26 13:00:00,6.0,-1.0,0.0,0.0714285714285714
AS14.01,2014-02-26 15:00:00,6.0,-1.0,1.0,0.0714285714285714
AS14.01,2014-02-26 18:00:00,6.0,0.0,1.0,0.0714285714285714
AS14.01,2014-02-26 21:00:00,7.0,1.0,1.0,0.0714285714285714
AS14.01,2014-02-27 09:00:00,6.0,-2.0,0.0,0.0714285714285714
AS14.01,2014-02-27 12:00:00,6.0,1.0,0.0,0.0714285714285714
AS14.01,2014-02-27 15:00:00,7.0,1.0,1.0,0.0714285714285714
AS14.01,2014-03-20 22:00:00,7.0,1.0,1.0,0.0714285714285714
AS14.01,2014-03-20 23:00:00,7.0,1.0,1.0,0.0916666666666667
AS14.01,2014-03-21 00:00:00,7.0,1.0,1.0,0.0083333333333333
AS14.01,2014-03-21 01:00:00,7.0,1.0,1.0,0.0
AS14.01,2014-03-21 02:00:00,7.0,1.0,1.0,0.0
AS14.01,2014-03-21 03:00:00,7.0,1.0,1.0,0.0327868852459016
AS14.01,2014-03-21 04:00:00,7.0,1.0,1.0,0.0
AS14.01,2014-03-21 05:00:00,7.0,1.0,1.0,0.0
AS14.01,2014-03-21 06:00:00,7.0,1.0,1.0,0.0
AS14.01,2014-03-21 07:00:00,7.0,1.0,1.0,0.0
AS14.01,2014-03-21 08:00:00,7.0,1.0,1.0,0.0256410256410256
AS14.01,2014-03-21 09:00:00,6.0,-1.0,0.0,0.0083333333333333
AS14.01,2014-03-21 10:00:00,6.0,-1.0,0.0,0.0483870967741935
AS14.01,2014-03-21 11:00:00,6.0,0.0,0.0,0.0166666666666667
AS14.01,2014-03-21 12:00:00,6.0,0.0,0.0,0.0916666666666667
AS14.01,2014-03-21 13:00:00,6.0,0.0,0.0,0.316666666666667
AS14.01,2014-03-21 14:00:00,6.0,0.0,0.0,0.725
AS14.01,2014-03-21 15:00:00,7.0,1.0,1.0,0.798387096774194
AS14.01,2014-03-21 16:00:00,7.0,1.0,1.0,0.130081300813008
AS14.01,2014-03-21 17:00:00,7.0,1.0,1.0,0.361344537815126
AS14.01,2014-03-21 18:00:00,7.0,1.0,1.0,0.134453781512605
AS14.01,2014-03-21 19:00:00,6.0,0.0,0.0,0.140495867768595
AS14.01,2014-03-21 20:00:00,6.0,0.0,0.0,0.100840336134454
AS14.01,2014-03-21 21:00:00,6.0,1.0,0.0,0.144067796610169
AS14.01,2014-03-21 22:00:00,6.0,1.0,0.0,0.0
AS14.01,2014-03-22 08:00:00,7.0,1.0,1.0,0.125
AS14.01,2014-03-22 09:00:00,7.0,1.0,1.0,0.28099173553719
AS14.01,2014-03-22 10:00:00,7.0,1.0,1.0,0.508474576271186
AS14.01,2014-03-22 11:00:00,7.0,1.0,1.0,0.341666666666667
AS14.01,2014-03-22 12:00:00,7.0,1.0,1.0,0.135593220338983
AS14.01,2014-03-22 13:00:00,7.0,1.0,1.0,0.25
AS14.01,2014-03-22 14:00:00,7.0,1.0,1.0,0.310924369747899
AS14.01,2014-03-22 15:00:00,7.0,1.0,1.0,0.436974789915966
AS14.01,2014-03-22 16:00:00,7.0,1.0,1.0,0.508333333333333
AS14.01,2014-03-22 17:00:00,7.0,1.0,1.0,0.271186440677966
AS14.01,2014-03-22 18:00:00,6.0,-1.0,1.0,0.294117647058824
AS14.01,2014-03-22 19:00:00,6.0,-1.0,1.0,0.218487394957983
AS14.01,2014-03-22 20:00:00,6.0,-1.0,1.0,0.0833333333333333
