id,time,mood,circumplex.arousal,circumplex.valence,activity,next_mood
AS14.14,2014-02-17 07:00:00,8.0,-1.0,1.0,0.0,8.0
AS14.02,2014-02-17 07:00:00,8.0,0.0,1.0,0.0,8.0
AS14.06,2014-02-17 07:00:00,6.0,1.0,1.0,0.0273972602739726,6.333333333333333
AS14.19,2014-02-17 08:00:00,7.0,1.0,1.0,0.0,7.5
AS14.17,2014-02-17 08:00:00,8.0,2.0,1.0,0.0,7.333333333333333
AS14.26,2014-02-17 09:00:00,7.0,0.0,1.0,0.0,7.0
AS14.20,2014-02-17 09:00:00,7.0,0.0,1.0,0.0,7.0
AS14.17,2014-02-17 09:00:00,8.0,2.0,1.0,0.0,7.333333333333333
AS14.28,2014-02-17 09:00:00,7.0,2.0,0.0,0.166666666666667,7.0
AS14.26,2014-02-17 10:00:00,7.0,0.0,1.0,0.0,7.0
AS14.09,2014-02-17 10:00:00,7.0,-1.0,1.0,0.0,6.666666666666667
AS14.29,2014-02-17 10:00:00,6.0,0.0,0.0,0.115384615384615,6.5
AS14.06,2014-02-17 10:00:00,6.0,1.0,1.0,0.0273972602739726,6.333333333333333
AS14.16,2014-02-17 11:00:00,7.0,1.0,1.0,0.0,7.0
AS14.25,2014-02-17 11:00:00,7.0,-1.0,1.0,0.25,6.5
AS14.09,2014-02-17 11:00:00,7.0,-1.0,1.0,0.0,6.666666666666667
AS14.02,2014-02-17 11:00:00,8.0,0.0,1.0,0.0,8.0
AS14.19,2014-02-17 12:00:00,7.0,1.0,1.0,0.0,7.5
AS14.08,2014-02-17 12:00:00,6.0,-1.0,1.0,0.0,5.5
AS14.29,2014-02-17 12:00:00,6.0,0.0,0.0,0.115384615384615,6.5
AS14.25,2014-02-17 12:00:00,7.0,-1.0,1.0,0.25,6.5
AS14.01,2014-02-17 12:00:00,6.0,-1.0,0.0,0.0714285714285714,6.25
AS14.27,2014-02-17 14:00:00,7.0,-1.0,0.0,0.142857142857143,6.4
AS14.16,2014-02-17 14:00:00,7.0,1.0,1.0,0.0,7.0
AS14.23,2014-02-17 14:00:00,7.0,1.0,0.0,0.0104166666666667,7.0
AS14.15,2014-02-17 14:00:00,7.0,-1.0,1.0,0.0909090909090909,7.0
AS14.08,2014-02-17 14:00:00,6.0,-1.0,1.0,0.0,5.5
AS14.33,2014-02-17 15:00:00,7.0,0.0,0.0,0.0,7.2
AS14.28,2014-02-17 15:00:00,7.0,2.0,0.0,0.166666666666667,7.0
AS14.15,2014-02-17 15:00:00,7.0,-1.0,1.0,0.0909090909090909,7.0
